Album,Artist,Bytes,Sales,City,Company,Composer,Country,CustomerID,Email,FirstName,Genre,InvoiceDate,InvoiceID,LastName,MediaType,Milliseconds,Number of Records,Phone,PostalCode,Quantity,Region,State,Track,UnitPrice
Achtung Baby,U2,9.16M,0.99,Vienne,,U2,Austria,7,astrid.gruber@apple.at,Astrid,Rock,1/18/2009 0:00,89,Gruber,MPEG audio file,276192,1,+43 01 5134505,1010,1,Europe,,One,0.99
B-Sides 1980-1990,U2,6.71M,0.99,Vienne,,Buzz Cason/Mac Gayden,Austria,7,astrid.gruber@apple.at,Astrid,Rock,1/18/2009 0:00,89,Gruber,MPEG audio file,202631,1,+43 01 5134505,1010,1,Europe,,Everlasting Love,0.99
Rattle And Hum,U2,6.50M,0.99,Vienne,,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",Austria,7,astrid.gruber@apple.at,Astrid,Rock,1/18/2009 0:00,89,Gruber,MPEG audio file,195604,1,+43 01 5134505,1010,1,Europe,,God Part II,0.99
All That You Can't Leave Behind,U2,8.50M,1.98,Vienne,,"Adam Clayton, Bono, Larry Mullen, The Edge",Austria,7,astrid.gruber@apple.at,Astrid,Rock,1/18/2009 0:00,89,Gruber,MPEG audio file,257776,1,+43 01 5134505,1010,2,Europe,,When I Look At The World,0.99
Achtung Baby,U2,8.53M,2.97,Vienne,,U2,Austria,7,astrid.gruber@apple.at,Astrid,Rock,1/18/2009 0:00,89,Gruber,MPEG audio file,263497,1,+43 01 5134505,1010,3,Europe,,Love Is Blindness,0.99
Rattle And Hum,U2,8.62M,3.96,Vienne,,"Dylan, Bob",Austria,7,astrid.gruber@apple.at,Astrid,Rock,1/18/2009 0:00,89,Gruber,MPEG audio file,264568,1,+43 01 5134505,1010,4,Europe,,All Along The Watchtower,0.99
How To Dismantle An Atomic Bomb,U2,6.33M,4.95,Vienne,,"Adam Clayton, Bono, Larry Mullen & The Edge",Austria,7,astrid.gruber@apple.at,Astrid,Rock,1/18/2009 0:00,89,Gruber,MPEG audio file,194612,1,+43 01 5134505,1010,5,Europe,,Vertigo,0.99
How To Dismantle An Atomic Bomb,U2,9.23M,4.95,Vienne,,"Adam Clayton, Bono, Larry Mullen & The Edge",Austria,7,astrid.gruber@apple.at,Astrid,Rock,1/18/2009 0:00,89,Gruber,MPEG audio file,281443,1,+43 01 5134505,1010,5,Europe,,Original Of The Species,0.99
Pop,U2,9.74M,4.95,Vienne,,"Bono, The Edge, Adam Clayton, and Larry Mullen",Austria,7,astrid.gruber@apple.at,Astrid,Rock,1/18/2009 0:00,89,Gruber,MPEG audio file,293041,1,+43 01 5134505,1010,5,Europe,,Miami,0.99
"Lost, Season 1",Lost,207.05M,1.99,Vienne,,,Austria,7,astrid.gruber@apple.at,Astrid,TV Shows,1/18/2009 0:00,89,Gruber,Protected MPEG-4 video file,2612894,1,+43 01 5134505,1010,1,Europe,,Solitary,1.99
"Lost, Season 2",Lost,574.33M,3.98,Vienne,,,Austria,7,astrid.gruber@apple.at,Astrid,TV Shows,1/18/2009 0:00,89,Gruber,Protected MPEG-4 video file,2825166,1,+43 01 5134505,1010,2,Europe,,Dave,1.99
"Lost, Season 2",Lost,488.46M,5.97,Vienne,,,Austria,7,astrid.gruber@apple.at,Astrid,Drama,1/18/2009 0:00,89,Gruber,Protected MPEG-4 video file,2600333,1,+43 01 5134505,1010,3,Europe,,Fire + Water,1.99
"Lost, Season 1",Lost,210.68M,7.96,Vienne,,,Austria,7,astrid.gruber@apple.at,Astrid,TV Shows,1/18/2009 0:00,89,Gruber,Protected MPEG-4 video file,2515882,1,+43 01 5134505,1010,4,Europe,,Homecoming,1.99
"Lost, Season 1",Lost,213.77M,7.96,Vienne,,,Austria,7,astrid.gruber@apple.at,Astrid,TV Shows,1/18/2009 0:00,89,Gruber,Protected MPEG-4 video file,2618619,1,+43 01 5134505,1010,4,Europe,,Born to Run,1.99
The Best Of 1980-1990,U2,5.89M,3.96,Reno,,U2,USA,21,kachase@hotmail.com,Kathy,Rock,1/26/2009 0:00,90,Chase,MPEG audio file,179853,1,+1 (775) 223-7665,89503,4,North  America,NV,Desire,0.99
The Best Of 1980-1990,U2,8.48M,0.99,Orlando,,U2,USA,22,hleacock@gmail.com,Heather,Rock,2/8/2009 0:00,91,Leacock,MPEG audio file,258194,1,+1 (407) 999-7788,32801,1,North  America,FL,When Love Comes To Town,0.99
War,U2,11.05M,0.99,Chicago,,U2,USA,24,fralston@gmail.com,Frank,Rock,2/8/2009 0:00,92,Ralston,MPEG audio file,336274,1,+1 (312) 332-3232,60611,1,North  America,IL,New Year's Day,0.99
The Best Of 1980-1990,U2,7.53M,1.98,Orlando,,U2,USA,22,hleacock@gmail.com,Heather,Rock,2/8/2009 0:00,91,Leacock,MPEG audio file,230217,1,+1 (407) 999-7788,32801,2,North  America,FL,Angel Of Harlem,0.99
War,U2,9.14M,4.95,Chicago,,U2,USA,24,fralston@gmail.com,Frank,Rock,2/8/2009 0:00,92,Ralston,MPEG audio file,278204,1,+1 (312) 332-3232,60611,5,North  America,IL,Sunday Bloody Sunday,0.99
War,U2,8.00M,0.99,Fort Worth,,U2,USA,26,ricunningham@hotmail.com,Richard,Rock,2/9/2009 0:00,93,Cunningham,MPEG audio file,243487,1,+1 (817) 924-7272,76110,1,North  America,TX,Two Hearts Beat As One,0.99
War,U2,11.22M,1.98,Fort Worth,,U2,USA,26,ricunningham@hotmail.com,Richard,Rock,2/9/2009 0:00,93,Cunningham,MPEG audio file,333505,1,+1 (817) 924-7272,76110,2,North  America,TX,Surrender,0.99
War,U2,8.46M,3.96,Fort Worth,,U2,USA,26,ricunningham@hotmail.com,Richard,Rock,2/9/2009 0:00,93,Cunningham,MPEG audio file,254458,1,+1 (817) 924-7272,76110,4,North  America,TX,Drowning Man,0.99
Zooropa,U2,12.81M,3.96,Fort Worth,,U2; Bono,USA,26,ricunningham@hotmail.com,Richard,Rock,2/9/2009 0:00,93,Cunningham,MPEG audio file,392359,1,+1 (817) 924-7272,76110,4,North  America,TX,Zooropa,0.99
UB40 The Best Of - Volume Two [UK],UB40,9.03M,0.99,Ottawa,,,Canada,30,edfrancis@yachoo.ca,Edward,Reggae,2/10/2009 0:00,94,Francis,MPEG audio file,270053,1,+1 (613) 234-3322,K2P 1L7,1,North  America,ON,C'est La Vie,0.99
UB40 The Best Of - Volume Two [UK],UB40,7.16M,1.98,Ottawa,,,Canada,30,edfrancis@yachoo.ca,Edward,Reggae,2/10/2009 0:00,94,Francis,MPEG audio file,213342,1,+1 (613) 234-3322,K2P 1L7,2,North  America,ON,Wear You To The Ball,0.99
Diver Down,Van Halen,6.06M,1.98,Ottawa,,Ray Davies,Canada,30,edfrancis@yachoo.ca,Edward,Rock,2/10/2009 0:00,94,Francis,MPEG audio file,186723,1,+1 (613) 234-3322,K2P 1L7,2,North  America,ON,Where Have All The Good Times Gone?,0.99
UB40 The Best Of - Volume Two [UK],UB40,11.19M,3.96,Ottawa,,,Canada,30,edfrancis@yachoo.ca,Edward,Reggae,2/10/2009 0:00,94,Francis,MPEG audio file,334524,1,+1 (613) 234-3322,K2P 1L7,4,North  America,ON,I Would Do For You,0.99
Zooropa,U2,9.79M,4.95,Ottawa,,U2; Bono,Canada,30,edfrancis@yachoo.ca,Edward,Rock,2/10/2009 0:00,94,Francis,MPEG audio file,298475,1,+1 (613) 234-3322,K2P 1L7,5,North  America,ON,"Stay (Faraway, So Close!)",0.99
Zooropa,U2,10.65M,4.95,Ottawa,,"U2; Bono & Edge, The",Canada,30,edfrancis@yachoo.ca,Edward,Rock,2/10/2009 0:00,94,Francis,MPEG audio file,324440,1,+1 (613) 234-3322,K2P 1L7,5,North  America,ON,Dirty Day,0.99
Van Halen III,Van Halen,10.74M,0.99,Berlin,,Van Halen,Germany,36,hannah.schneider@yahoo.de,Hannah,Rock,2/13/2009 0:00,95,Schneider,MPEG audio file,330788,1,+49 030 26550280,10789,1,Europe,,One I Want,0.99
Diver Down,Van Halen,7.46M,1.98,Berlin,,Ivy Jo Hunter/Marvin Gaye/William Stevenson,Germany,36,hannah.schneider@yahoo.de,Hannah,Rock,2/13/2009 0:00,95,Schneider,MPEG audio file,225985,1,+49 030 26550280,10789,2,Europe,,Dancing In The Street,0.99
"The Best Of Van Halen, Vol. I",Van Halen,3.27M,1.98,Berlin,,"Edward Van Halen, Alex Van Halen, David Lee Roth, Michael Anthony",Germany,36,hannah.schneider@yahoo.de,Hannah,Rock,2/13/2009 0:00,95,Schneider,MPEG audio file,102164,1,+49 030 26550280,10789,2,Europe,,Eruption,0.99
"The Best Of Van Halen, Vol. I",Van Halen,10.50M,1.98,Berlin,,Van Halen,Germany,36,hannah.schneider@yahoo.de,Hannah,Rock,2/13/2009 0:00,95,Schneider,MPEG audio file,321828,1,+49 030 26550280,10789,2,Europe,,Right Now,0.99
Van Halen,Van Halen,3.29M,2.97,Berlin,,"Edward Van Halen, Alex Van Halen, Michael Anthony and David Lee Roth",Germany,36,hannah.schneider@yahoo.de,Hannah,Rock,2/13/2009 0:00,95,Schneider,MPEG audio file,102556,1,+49 030 26550280,10789,3,Europe,,Eruption,0.99
"The Best Of Van Halen, Vol. I",Van Halen,7.91M,3.96,Berlin,,"Edward Van Halen, Alex Van Halen, David Lee Roth",Germany,36,hannah.schneider@yahoo.de,Hannah,Rock,2/13/2009 0:00,95,Schneider,MPEG audio file,241711,1,+49 030 26550280,10789,4,Europe,,Jump,0.99
Van Halen III,Van Halen,16.62M,3.96,Berlin,,Van Halen,Germany,36,hannah.schneider@yahoo.de,Hannah,Rock,2/13/2009 0:00,95,Schneider,MPEG audio file,514612,1,+49 030 26550280,10789,4,Europe,,Year to the Day,0.99
Van Halen,Van Halen,7.29M,4.95,Berlin,,"Edward Van Halen, Alex Van Halen, Michael Anthony and David Lee Roth",Germany,36,hannah.schneider@yahoo.de,Hannah,Rock,2/13/2009 0:00,95,Schneider,MPEG audio file,222850,1,+49 030 26550280,10789,5,Europe,,Feel Your Love Tonight,0.99
Contraband,Velvet Revolver,8.67M,4.95,Berlin,,"Dave Kushner, Duff, Matt Sorum, Scott Weiland & Slash",Germany,36,hannah.schneider@yahoo.de,Hannah,Rock,2/13/2009 0:00,95,Schneider,MPEG audio file,265613,1,+49 030 26550280,10789,5,Europe,,Big Machine,0.99
Ao Vivo [IMPORT],Zeca Pagodinho,8.27M,0.99,Budapest,,Nei Lopes/Wilson Moreira,Hungary,45,ladislav_kovacs@apple.hu,Ladislav,Latin,2/18/2009 0:00,96,Kovaics,MPEG audio file,245394,1,,H-1073,1,Europe,,Sapopemba e Maxambomba,0.99
Contraband,Velvet Revolver,7.73M,0.99,Budapest,,"Dave Kushner, Duff, Keith Nelson, Matt Sorum, Scott Weiland & Slash",Hungary,45,ladislav_kovacs@apple.hu,Ladislav,Rock,2/18/2009 0:00,96,Kovaics,MPEG audio file,237844,1,,H-1073,1,Europe,,Dirty Little Thing,0.99
Greatest Hits,Lenny Kravitz,7.65M,1.98,Budapest,,Marsden,Hungary,45,ladislav_kovacs@apple.hu,Ladislav,Metal,2/18/2009 0:00,96,Kovaics,MPEG audio file,233874,1,,H-1073,2,Europe,,Here I Go Again,0.99
Greatest Hits,Lenny Kravitz,8.61M,1.98,Budapest,,Vandenberg,Hungary,45,ladislav_kovacs@apple.hu,Ladislav,Metal,2/18/2009 0:00,96,Kovaics,MPEG audio file,262791,1,,H-1073,2,Europe,,The Deeper The Love,0.99
Vinicius De Moraes,VinÃ­cius De Moraes,7.75M,2.97,Budapest,,,Hungary,45,ladislav_kovacs@apple.hu,Ladislav,Latin,2/18/2009 0:00,96,Kovaics,MPEG audio file,236591,1,,H-1073,3,Europe,,So Por Amor,0.99
Ao Vivo [IMPORT],Zeca Pagodinho,7.31M,4.95,Budapest,,Paulinho Rezende/Toninho Geraes,Hungary,45,ladislav_kovacs@apple.hu,Ladislav,Latin,2/18/2009 0:00,96,Kovaics,MPEG audio file,219454,1,,H-1073,5,Europe,,Seu BalancÃª,0.99
"The Office, Season 2",The Office,246.85M,1.99,Budapest,,,Hungary,45,ladislav_kovacs@apple.hu,Ladislav,TV Shows,2/18/2009 0:00,96,Kovaics,Protected MPEG-4 video file,1253541,1,,H-1073,1,Europe,,The Dundies,1.99
"Battlestar Galactica (Classic), Season 1",Battlestar Galactica (Classic),513.12M,5.97,Budapest,,,Hungary,45,ladislav_kovacs@apple.hu,Ladislav,Sci Fi & Fantasy,2/18/2009 0:00,96,Kovaics,Protected MPEG-4 video file,2925008,1,,H-1073,3,Europe,,The Long Patrol,1.99
"The Office, Season 2",The Office,260.89M,5.97,Budapest,,,Hungary,45,ladislav_kovacs@apple.hu,Ladislav,TV Shows,2/18/2009 0:00,96,Kovaics,Protected MPEG-4 video file,1282115,1,,H-1073,3,Europe,,Christmas Party,1.99
"The Office, Season 3",The Office,252.73M,7.96,Budapest,,,Hungary,45,ladislav_kovacs@apple.hu,Ladislav,TV Shows,2/18/2009 0:00,96,Kovaics,Protected MPEG-4 video file,1279904,1,,H-1073,4,Europe,,Diwali,1.99
"The Office, Season 3",The Office,258.56M,9.95,Budapest,,,Hungary,45,ladislav_kovacs@apple.hu,Ladislav,Comedy,2/18/2009 0:00,96,Kovaics,Protected MPEG-4 video file,1271521,1,,H-1073,5,Europe,,Phyllis's Wedding,1.99
"Heroes, Season 1",Heroes,487.88M,9.95,Budapest,,,Hungary,45,ladislav_kovacs@apple.hu,Ladislav,Drama,2/18/2009 0:00,96,Kovaics,Protected MPEG-4 video file,2687103,1,,H-1073,5,Europe,,How to Stop an Exploding Man,1.99
"Lost, Season 3",Lost,493.95M,9.95,Budapest,,,Hungary,45,ladislav_kovacs@apple.hu,Ladislav,Drama,2/18/2009 0:00,96,Kovaics,Protected MPEG-4 video file,2615990,1,,H-1073,5,Europe,,The Man Behind the Curtain,1.99
"The Office, Season 2",The Office,247.24M,9.95,Budapest,,,Hungary,45,ladislav_kovacs@apple.hu,Ladislav,TV Shows,2/18/2009 0:00,96,Kovaics,Protected MPEG-4 video file,1237791,1,,H-1073,5,Europe,,Michael's Birthday,1.99
"Battlestar Galactica (Classic), Season 1",Battlestar Galactica (Classic),525.56M,3.98,Bangalore,,,India,59,puja_srivastava@yahoo.in,Puja,Sci Fi & Fantasy,2/26/2009 0:00,97,Srivastava,Protected MPEG-4 video file,2922088,1,+91 080 22289999,560001,2,Asia,,Baltar's Escape,1.99
Aquaman,Aquaman,492.67M,3.98,Montreal,,,Canada,3,ftremblay@gmail.com,Francois,TV Shows,3/11/2009 0:00,99,Tremblay,Protected MPEG-4 video file,2484567,1,+1 (514) 721-4711,H2G 1A7,2,North  America,QC,Pilot,1.99
"Battlestar Galactica (Classic), Season 1",Battlestar Galactica (Classic),512.38M,3.98,Sao Jose dos Campos,Embraer,,Brazil,1,luisg@embraer.com.br,Lucas,Sci Fi & Fantasy,3/11/2009 0:00,98,Gonasalves,Protected MPEG-4 video file,2927677,1,+55 (12) 3923-5555,12227-000,2,South America,SP,Take the Celestra,1.99
"Lost, Season 3",Lost,493.21M,5.97,Montreal,,,Canada,3,ftremblay@gmail.com,Francois,Drama,3/11/2009 0:00,99,Tremblay,Protected MPEG-4 video file,2610860,1,+1 (514) 721-4711,H2G 1A7,3,North  America,QC,"Through the Looking Glass, Pt. 1",1.99
"Battlestar Galactica (Classic), Season 1",Battlestar Galactica (Classic),547.98M,9.95,Sao Jose dos Campos,Embraer,,Brazil,1,luisg@embraer.com.br,Lucas,Sci Fi & Fantasy,3/11/2009 0:00,98,Gonasalves,Protected MPEG-4 video file,2923548,1,+55 (12) 3923-5555,12227-000,5,South America,SP,Experiment In Terra,1.99
Instant Karma: The Amnesty International Campaign to Save Darfur,U2,4.45M,2.97,Prague,JetBrains s.r.o.,,Czech Republic,5,frantisekw@jetbrains.com,Frank,Pop,3/12/2009 0:00,100,Wichterlovai,Protected AAC audio file,274644,1,+420 2 4172 5555,14700,3,Europe,,Give Peace a Chance,0.99
Instant Karma: The Amnesty International Campaign to Save Darfur,U2,3.50M,3.96,Prague,JetBrains s.r.o.,,Czech Republic,5,frantisekw@jetbrains.com,Frank,Pop,3/12/2009 0:00,100,Wichterlovai,Protected AAC audio file,215084,1,+420 2 4172 5555,14700,4,Europe,,Whatever Gets You Thru the Night,0.99
Instant Karma: The Amnesty International Campaign to Save Darfur,U2,3.78M,3.96,Prague,JetBrains s.r.o.,,Czech Republic,5,frantisekw@jetbrains.com,Frank,Pop,3/12/2009 0:00,100,Wichterlovai,Protected AAC audio file,232778,1,+420 2 4172 5555,14700,4,Europe,,Gimme Some Truth,0.99
Instant Karma: The Amnesty International Campaign to Save Darfur,U2,4.51M,4.95,Prague,JetBrains s.r.o.,,Czech Republic,5,frantisekw@jetbrains.com,Frank,Pop,3/12/2009 0:00,100,Wichterlovai,Protected AAC audio file,278312,1,+420 2 4172 5555,14700,5,Europe,,#9 Dream,0.99
Instant Karma: The Amnesty International Campaign to Save Darfur,U2,3.70M,0.99,Copenhagen,,,Denmark,9,kara.nielsen@jubii.dk,Kara,Pop,3/13/2009 0:00,101,Nielsen,Protected AAC audio file,227995,1,+453 3331 9991,1720,1,Europe,,Beautiful Boy,0.99
Speak of the Devil,Ozzy Osbourne,8.27M,0.99,Copenhagen,,,Denmark,9,kara.nielsen@jubii.dk,Kara,Rock,3/13/2009 0:00,101,Nielsen,Protected AAC audio file,515435,1,+453 3331 9991,1720,1,Europe,,War Pigs,0.99
Speak of the Devil,Ozzy Osbourne,4.17M,3.96,Copenhagen,,,Denmark,9,kara.nielsen@jubii.dk,Kara,Rock,3/13/2009 0:00,101,Nielsen,Protected AAC audio file,258343,1,+453 3331 9991,1720,4,Europe,,Never Say Die,0.99
Instant Karma: The Amnesty International Campaign to Save Darfur,U2,3.06M,4.95,Copenhagen,,,Denmark,9,kara.nielsen@jubii.dk,Kara,Pop,3/13/2009 0:00,101,Nielsen,Protected AAC audio file,187546,1,+453 3331 9991,1720,5,Europe,,Gimme Some Truth,0.99
Instant Karma: The Amnesty International Campaign to Save Darfur,U2,3.88M,4.95,Copenhagen,,,Denmark,9,kara.nielsen@jubii.dk,Kara,Pop,3/13/2009 0:00,101,Nielsen,Protected AAC audio file,239094,1,+453 3331 9991,1720,5,Europe,,Jealous Guy,0.99
Speak of the Devil,Ozzy Osbourne,5.49M,4.95,Copenhagen,,,Denmark,9,kara.nielsen@jubii.dk,Kara,Rock,3/13/2009 0:00,101,Nielsen,Protected AAC audio file,340890,1,+453 3331 9991,1720,5,Europe,,Sympton of the Universe,0.99
Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,O Rappa,9.50M,1.98,Vancouver,Rogers Canada,,Canada,15,jenniferp@rogers.ca,Jennifer,Electronica/Dance,3/16/2009 0:00,102,Peterson,MPEG audio file,237426,1,+1 (604) 688-2255,V6C 1G8,2,North  America,BC,Todo o Carnaval tem seu Fim,0.99
House of Pain,House Of Pain,7.29M,2.97,Vancouver,Rogers Canada,E. Schrody/L. Freese/L. Muggerud,Canada,15,jenniferp@rogers.ca,Jennifer,Hip Hop/Rap,3/16/2009 0:00,102,Peterson,MPEG audio file,182230,1,+1 (604) 688-2255,V6C 1G8,3,North  America,BC,Put Your Head Out,0.99
House of Pain,House Of Pain,4.58M,2.97,Vancouver,Rogers Canada,E. Schrody/L. Muggerud,Canada,15,jenniferp@rogers.ca,Jennifer,Hip Hop/Rap,3/16/2009 0:00,102,Peterson,MPEG audio file,114520,1,+1 (604) 688-2255,V6C 1G8,3,North  America,BC,"Danny Boy, Danny Boy",0.99
Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,O Rappa,5.76M,4.95,Vancouver,Rogers Canada,,Canada,15,jenniferp@rogers.ca,Jennifer,Electronica/Dance,3/16/2009 0:00,102,Peterson,MPEG audio file,143830,1,+1 (604) 688-2255,V6C 1G8,5,North  America,BC,Chapa o Coco,0.99
Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,O Rappa,9.50M,4.95,Vancouver,Rogers Canada,,Canada,15,jenniferp@rogers.ca,Jennifer,Electronica/Dance,3/16/2009 0:00,102,Peterson,MPEG audio file,237322,1,+1 (604) 688-2255,V6C 1G8,5,North  America,BC,Funk de Bamba,0.99
House of Pain,House Of Pain,6.81M,4.95,Vancouver,Rogers Canada,E. Schrody/L. Dimant/L. Muggerud,Canada,15,jenniferp@rogers.ca,Jennifer,Hip Hop/Rap,3/16/2009 0:00,102,Peterson,MPEG audio file,170213,1,+1 (604) 688-2255,V6C 1G8,5,North  America,BC,One For The Road,0.99
20th Century Masters - The Millennium Collection: The Best of Scorpions,Scorpions,5.55M,1.98,Vancouver,Rogers Canada,,Canada,15,jenniferp@rogers.ca,Jennifer,Rock,3/16/2009 0:00,102,Peterson,Protected AAC audio file,332740,1,+1 (604) 688-2255,V6C 1G8,2,North  America,BC,The Zoo,0.99
20th Century Masters - The Millennium Collection: The Best of Scorpions,Scorpions,3.48M,3.96,Vancouver,Rogers Canada,,Canada,15,jenniferp@rogers.ca,Jennifer,Rock,3/16/2009 0:00,102,Peterson,Protected AAC audio file,205332,1,+1 (604) 688-2255,V6C 1G8,4,North  America,BC,I Can't Explain,0.99
"LOST, Season 4",Lost,526.87M,1.99,Vancouver,Rogers Canada,,Canada,15,jenniferp@rogers.ca,Jennifer,Drama,3/16/2009 0:00,102,Peterson,Protected MPEG-4 video file,2611903,1,+1 (604) 688-2255,V6C 1G8,1,North  America,BC,The Beginning of the End,1.99
Duos II,Luciana Souza/Romero Lubambo,2.78M,0.99,Chicago,,Luciana Souza,USA,24,fralston@gmail.com,Frank,Latin,3/21/2009 0:00,103,Ralston,AAC audio file,172710,1,+1 (312) 332-3232,60611,1,North  America,IL,Muita Bobeira,0.99
Revelations,Audioslave,4.90M,0.99,Chicago,,,USA,24,fralston@gmail.com,Frank,Alternative,3/21/2009 0:00,103,Ralston,Protected AAC audio file,301974,1,+1 (312) 332-3232,60611,1,North  America,IL,Show Me How to Live (Live at the Quart Festival),0.99
Back to Black,Amy Winehouse,3.42M,0.99,Chicago,,,USA,24,fralston@gmail.com,Frank,R&B/Soul,3/21/2009 0:00,103,Ralston,Protected AAC audio file,213240,1,+1 (312) 332-3232,60611,1,North  America,IL,Rehab,0.99
Temple of the Dog,Temple of the Dog,4.00M,1.98,Chicago,,,USA,24,fralston@gmail.com,Frank,Alternative,3/21/2009 0:00,103,Ralston,Protected AAC audio file,231803,1,+1 (312) 332-3232,60611,2,North  America,IL,All Night Thing,0.99
Beethoven Piano Sonatas: Moonlight & Pastorale,Maurizio Pollini,6.32M,1.98,Chicago,,Ludwig van Beethoven,USA,24,fralston@gmail.com,Frank,Classical,3/21/2009 0:00,103,Ralston,Protected AAC audio file,391000,1,+1 (312) 332-3232,60611,2,North  America,IL,"Piano Sonata No. 14 in C Sharp Minor, Op. 27, No. 2, ""Moonlight"": I. Adagio sostenuto",0.99
Back to Black,Amy Winehouse,2.67M,1.98,Chicago,,Richard Poindexter & Robert Poindexter,USA,24,fralston@gmail.com,Frank,R&B/Soul,3/21/2009 0:00,103,Ralston,Protected AAC audio file,166680,1,+1 (312) 332-3232,60611,2,North  America,IL,He Can Only Hold Her,0.99
Carry On,Chris Cornell,3.62M,2.97,Chicago,,Chris Cornell,USA,24,fralston@gmail.com,Frank,Alternative,3/21/2009 0:00,103,Ralston,Protected AAC audio file,220193,1,+1 (312) 332-3232,60611,3,North  America,IL,Scar On the Sky,0.99
Handel: The Messiah (Highlights),Scholars Baroque Ensemble,9.55M,2.97,Chicago,,George Frideric Handel,USA,24,fralston@gmail.com,Frank,Classical,3/21/2009 0:00,103,Ralston,Protected AAC audio file,582029,1,+1 (312) 332-3232,60611,3,North  America,IL,"The Messiah: Behold, I Tell You a Mystery... The Trumpet Shall Sound",0.99
Revelations,Audioslave,3.77M,3.96,Chicago,,,USA,24,fralston@gmail.com,Frank,Alternative,3/21/2009 0:00,103,Ralston,Protected AAC audio file,230758,1,+1 (312) 332-3232,60611,4,North  America,IL,Until We Fall,0.99
Temple of the Dog,Temple of the Dog,6.48M,3.96,Chicago,,,USA,24,fralston@gmail.com,Frank,Alternative,3/21/2009 0:00,103,Ralston,Protected AAC audio file,384497,1,+1 (312) 332-3232,60611,4,North  America,IL,Say Hello 2 Heaven,0.99
"FaurÃ©: Requiem, Ravel: Pavane & Others","Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",4.31M,3.96,Chicago,,Gabriel FaurÃ©,USA,24,fralston@gmail.com,Frank,Classical,3/21/2009 0:00,103,Ralston,Protected AAC audio file,258924,1,+1 (312) 332-3232,60611,4,North  America,IL,"Requiem, Op.48: 4. Pie Jesu",0.99
Berlioz: Symphonie Fantastique,Michael Tilson Thomas & San Francisco Symphony,9.17M,3.96,Chicago,,Hector Berlioz,USA,24,fralston@gmail.com,Frank,Classical,3/21/2009 0:00,103,Ralston,Protected AAC audio file,561967,1,+1 (312) 332-3232,60611,4,North  America,IL,"Symphonie Fantastique, Op. 14: V. Songe d'une nuit du sabbat",0.99
"LOST, Season 4",Lost,504.13M,5.97,Chicago,,,USA,24,fralston@gmail.com,Frank,TV Shows,3/21/2009 0:00,103,Ralston,Protected MPEG-4 video file,2612028,1,+1 (312) 332-3232,60611,3,North  America,IL,Meet Kevin Johnson,1.99
"The Office, Season 3",The Office,360.33M,7.96,Chicago,,,USA,24,fralston@gmail.com,Frank,Comedy,3/21/2009 0:00,103,Ralston,Protected MPEG-4 video file,1814855,1,+1 (312) 332-3232,60611,4,North  America,IL,Branch Closing,1.99
Carried to Dust (Bonus Track Version),Calexico,3.64M,4.95,Berlin,,,Germany,38,nschroder@surfeu.de,Niklas,Alternative,3/29/2009 0:00,104,Schroeder,Protected AAC audio file,215386,1,+49 030 2141444,10779,5,Europe,,Slowness,0.99
South American Getaway,The 12 Cellists of The Berlin Philharmonic,4.78M,2.97,Lyon,,Astor Piazzolla,France,41,marc.dubois@hotmail.com,Marc,Classical,4/11/2009 0:00,106,Dubois,Protected AAC audio file,289388,1,+33 04 78 30 30 30,69002,3,Europe,,Adios nonino,0.99
Bach: Orchestral Suites Nos. 1 - 4,"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",3.85M,3.96,Lyon,,Johann Sebastian Bach,France,41,marc.dubois@hotmail.com,Marc,Classical,4/11/2009 0:00,106,Dubois,Protected AAC audio file,225933,1,+33 04 78 30 30 30,69002,4,Europe,,"Suite No. 3 in D, BWV 1068: III. Gavotte I & II",0.99
Beethoven: Symphony No. 6 'Pastoral' Etc.,Otto Klemperer & Philharmonia Orchestra,10.89M,0.99,Paris,,Ludwig van Beethoven,France,39,camille.bernard@yahoo.fr,Camille,Classical,4/11/2009 0:00,105,Bernard,Purchased AAC audio file,339567,1,+33 01 49 70 65 65,75009,1,Europe,,"Prometheus Overture, Op. 43",0.99
Bartok: Violin & Viola Concertos,Yehudi Menuhin,9.79M,0.99,Paris,,BÃ©la BartÃ³k,France,39,camille.bernard@yahoo.fr,Camille,Classical,4/11/2009 0:00,105,Bernard,Purchased AAC audio file,299350,1,+33 01 49 70 65 65,75009,1,Europe,,Sonata for Solo Violin: IV: Presto,0.99
English Renaissance,The King's Singers,2.26M,0.99,Dijon,,William Byrd,France,43,isabelle_mercier@apple.fr,Isabelle,Classical,4/12/2009 0:00,107,Mercier,Protected AAC audio file,133768,1,+33 03 80 73 66 99,21000,1,Europe,,Sing Joyfully,0.99
